"city","total_revenue","revenue_per_cust"
"Saint-Denis","211.55","211.5500000000000000"
"Cape Coral","208.58","208.5800000000000000"
"Santa Brbara dOeste","194.61","194.6100000000000000"
"Apeldoorn","191.62","191.6200000000000000"
"Molodetno","189.60","189.6000000000000000"
"Qomsheh","183.63","183.6300000000000000"
"London","174.54","87.2700000000000000"
"Memphis","167.67","167.6700000000000000"
"Richmond Hill","167.62","167.6200000000000000"
"Tanza","166.61","166.6100000000000000"
"Valparai","162.67","162.6700000000000000"
"Santa Rosa","161.68","161.6800000000000000"
"Aurora","159.58","79.7900000000000000"
"Ourense (Orense)","158.65","158.6500000000000000"
"Hodeida","157.69","157.6900000000000000"
"Tanauan","156.66","156.6600000000000000"
"Bijapur","154.66","154.6600000000000000"
"Halisahar","152.71","152.7100000000000000"
"Usolje-Sibirskoje","152.69","152.6900000000000000"
"Probolinggo","152.68","152.6800000000000000"
"Sumy","151.73","151.7300000000000000"
"Zhoushan","151.69","151.6900000000000000"
"Skikda","151.68","151.6800000000000000"
"Cam Ranh","149.69","149.6900000000000000"
"Changhwa","149.61","149.6100000000000000"
"Bhilwara","147.71","147.7100000000000000"
"Tangail","146.68","146.6800000000000000"
"Citt del Vaticano","146.68","146.6800000000000000"
"Songkhla","146.68","146.6800000000000000"
"Fuyu","146.67","146.6700000000000000"
"Maikop","145.70","145.7000000000000000"
"Balikesir","145.64","145.6400000000000000"
"Omdurman","144.70","144.7000000000000000"
"Arecibo","144.68","144.6800000000000000"
"Hsichuh","144.66","144.6600000000000000"
"Yangor","143.70","143.7000000000000000"
"Uruapan","143.68","143.6800000000000000"
"Daugavpils","142.70","142.7000000000000000"
"Nakhon Sawan","142.69","142.6900000000000000"
"Lengshuijiang","142.67","142.6700000000000000"
"Beira","142.66","142.6600000000000000"
"Vila Velha","141.71","141.7100000000000000"
"Rae Bareli","141.69","141.6900000000000000"
"Belm","140.69","140.6900000000000000"
"Nyeri","139.72","139.7200000000000000"
"Shubra al-Khayma","139.69","139.6900000000000000"
"Malm","139.67","139.6700000000000000"
"Naju","138.69","138.6900000000000000"
"Shimonoseki","138.65","138.6500000000000000"
"Sincelejo","137.72","137.7200000000000000"
"Ife","137.70","137.7000000000000000"
"Bergamo","137.67","137.6700000000000000"
"Robamba","135.70","135.7000000000000000"
"Fengshan","135.68","135.6800000000000000"
"Juiz de Fora","134.73","134.7300000000000000"
"Cuauhtmoc","134.72","134.7200000000000000"
"Akron","134.71","134.7100000000000000"
"Dos Quebradas","134.70","134.7000000000000000"
"Aden","134.70","134.7000000000000000"
"Usak","134.69","134.6900000000000000"
"Bhopal","134.68","134.6800000000000000"
"Nantou","134.65","134.6500000000000000"
"Imus","133.72","133.7200000000000000"
"Omiya","133.71","133.7100000000000000"
"Batman","133.70","133.7000000000000000"
"Changzhou","133.68","133.6800000000000000"
"Olomouc","132.72","132.7200000000000000"
"Binzhou","132.70","132.7000000000000000"
"Tychy","132.65","132.6500000000000000"
"Nam Dinh","131.74","131.7400000000000000"
"Osmaniye","131.73","131.7300000000000000"
"Moscow","131.69","131.6900000000000000"
"Boksburg","131.69","131.6900000000000000"
"Athenai","130.76","130.7600000000000000"
"Kragujevac","130.72","130.7200000000000000"
"Salamanca","130.72","130.7200000000000000"
"Siliguri (Shiliguri)","130.70","130.7000000000000000"
"Tokat","130.68","130.6800000000000000"
"Boa Vista","130.68","130.6800000000000000"
"Lancaster","129.72","129.7200000000000000"
"Avellaneda","129.71","129.7100000000000000"
"Ashdod","129.70","129.7000000000000000"
"Jinchang","129.68","129.6800000000000000"
"Yinchuan","128.73","128.7300000000000000"
"Qinhuangdao","128.71","128.7100000000000000"
"Ilorin","128.71","128.7100000000000000"
"Atlixco","128.70","128.7000000000000000"
"Mannheim","128.69","128.6900000000000000"
"Syrakusa","127.73","127.7300000000000000"
"Erlangen","127.73","127.7300000000000000"
"Nha Trang","127.69","127.6900000000000000"
"Fukuyama","127.69","127.6900000000000000"
"Chisinau","127.66","127.6600000000000000"
"Ashgabat","126.74","126.7400000000000000"
"Blumenau","126.73","126.7300000000000000"
"Sterling Heights","126.73","126.7300000000000000"
"Vancouver","126.73","126.7300000000000000"
"Huixquilucan","126.72","126.7200000000000000"
"Duisburg","126.70","126.7000000000000000"
"Purnea (Purnia)","125.74","125.7400000000000000"
"Kolpino","125.72","125.7200000000000000"
"Urawa","125.68","125.6800000000000000"
"Santo Andr","125.67","125.6700000000000000"
"Antofagasta","124.74","124.7400000000000000"
"La Plata","124.71","124.7100000000000000"
"Ikerre","124.68","124.6800000000000000"
"Liaocheng","124.66","124.6600000000000000"
"San Bernardino","123.74","123.7400000000000000"
"Parbhani","123.74","123.7400000000000000"
"Pontianak","123.72","123.7200000000000000"
"Cabuyao","123.71","123.7100000000000000"
"Davao","123.70","123.7000000000000000"
"Fontana","123.70","123.7000000000000000"
"Lungtan","123.66","123.6600000000000000"
"Ozamis","122.74","122.7400000000000000"
"Goinia","122.74","122.7400000000000000"
