"store_id","category","sum"
1,"Action","596"
1,"Animation","568"
1,"Children","453"
1,"Classics","447"
1,"Comedy","502"
1,"Documentary","450"
1,"Drama","576"
1,"Family","557"
1,"Foreign","524"
1,"Games","455"
1,"Horror","386"
1,"Music","436"
1,"New","502"
1,"Sci-Fi","521"
1,"Sports","555"
1,"Travel","395"
2,"Action","516"
2,"Animation","598"
2,"Children","492"
2,"Classics","492"
2,"Comedy","439"
2,"Documentary","600"
2,"Drama","484"
2,"Family","539"
2,"Foreign","509"
2,"Games","514"
2,"Horror","460"
2,"Music","394"
2,"New","438"
2,"Sci-Fi","580"
2,"Sports","624"
2,"Travel","442"
